community_name,plate,site,age,building_density,building_type,house_count,building_count,green_rate,avr_price,develop_company,lat,lng,address,community_id,growth
中邦MOHO,合庆,合庆,16,0,Null,79,39,0,7911,暂无信息,31.2182,121.706,{王桥路999弄},5011000014094,0.0903320124649
重庆北路94弄,人民广场,人民广场,31,1,Null,2,3,1,48918,上海亚特隆房地产开发有限公司,31.2351,121.475,{重庆北路94弄},5011000006573,0.282265821046
富成别墅,惠南,惠南,16,3.2,Null,100,101,40,19591,上海万居开发有限公司,31.0429,121.752,{南园路99弄},5011000013704,0.0637102570072
中华新路489号,西藏北路,西藏北路,37,0,Null,1,2,0,Null,暂无信息,31.2598,121.471,{中华新路489号},5011102208513,Null
顺昌路621弄,新天地,新天地,Null,0,Null,1,2,0,Null,暂无信息,31.2181,121.486,{顺昌路621弄},5011102207880,Null
大沽路256弄,人民广场,人民广场,Null,2,Null,4,2,25,46990,暂无信息,31.2321,121.476,{大沽路256弄},5011000006417,0.282288461828
虹梅路96弄,华东理工,华东理工,23,0,Null,873,74,0,43985,暂无信息,31.1463,121.421,{虹梅路96弄},5011000006483,0.282274215212
江苏路65弄,曹家渡,曹家渡,27,0,Null,54,3,0,43448,李顺记营造厂,31.2299,121.435,{江苏路65弄},5011000008104,0.282278223344
宜家公寓,东环,东环,12,1.83,板楼,141,11,47,31373,暂无信息,31.3148,120.668,{中新路115号},239821887922189,0.41731625488
凌桥苑,外高桥,外高桥,9,1.6,Null,360,31,25,27728,上海中凌房地产开发有限公司,31.372,121.551,{凌高路149弄},5011000001532,0.286200499008
延安西路1264弄,新华路,新华路,34,3.2,Null,19,8,18,Null,上海静安集团有限公司,31.2163,121.433,{延安西路1264弄},5011000010481,Null
